Analysis name,Health_condition,Host,Organism
UN_MBO_191041_220218,healthy,Manis javanica,Oral
UN_MBO_191042_220218,healthy,Manis javanica,Oral
UN_MBO_191043_220218,healthy,Manis pentadactyla,Oral
UN_MBO_191044_220218,healthy,Manis pentadactyla,Oral
UN_MBO_191045_220218,healthy,Manis pentadactyla,Oral
UN_MBO_191046_220218,healthy,Manis javanica,Oral
UN_MBO_191047_220218,healthy,Manis javanica,Oral
UN_MBA_191076_220228,healthy,Manis javanica,Anal
UN_MBA_191077_220228,healthy,Manis javanica,Anal
UN_MBA_191078_220228,healthy,Manis javanica,Anal
UN_MBA_191079_220228,healthy,Manis javanica,Anal
UN_7D7_2A_220228,healthy,Manis javanica,Anal
UN_7D7_2O_220228,healthy,Manis javanica,Oral
UN_7D11_4O_220228,healthy,Manis javanica,Oral
UN_MBO_191048_220221,healthy,Manis javanica,Oral
UN_MBO_191049_220221,healthy,Manis javanica,Oral
UN_MBO_191050_220221,healthy,Manis javanica,Oral
UN_MBO_191051_220221,healthy,Manis javanica,Oral
UN_MBO_191052_220221,healthy,Manis javanica,Oral
UN_MBO_191053_220221,healthy,Manis javanica,Oral
UN_MBO_191054_220221,healthy,Manis javanica,Oral
UN_MBO_191055_220221,healthy,Manis javanica,Oral
UN_MBO_191056_220221,healthy,Manis javanica,Oral
UN_MBO_191057_220221,healthy,Manis javanica,Oral
UN_MBO_191058_220221,healthy,Manis javanica,Oral
UN_MBO_191059_220221,healthy,Manis javanica,Oral
UN_MBO_191060_220221,healthy,Manis javanica,Oral
UN_MBO_191061_220221,healthy,Manis javanica,Oral
UN_MBO_191062_220221,healthy,Manis javanica,Oral
UN_MBO_191063_220221,healthy,Manis javanica,Oral
UN_MBO_191064_220223,healthy,Manis javanica,Oral
UN_MBO_191065_220223,healthy,Manis javanica,Oral
UN_MBO_191066_220223,healthy,Manis javanica,Oral
UN_MBO_191067_220223,healthy,Manis javanica,Oral
UN_MBO_191068_220223,healthy,Manis javanica,Oral
UN_MBO_191069_220223,healthy,Manis javanica,Oral
UN_MBO_191070_220223,healthy,Manis javanica,Oral
UN_MBO_191071_220223,healthy,Manis javanica,Oral
UN_MBO_191072_220223,healthy,Manis javanica,Oral
UN_MBO_191073_220223,healthy,Manis javanica,Oral
UN_MBO_191074_220223,healthy,Manis javanica,Oral
UN_MBO_191075_220223,healthy,Manis javanica,Oral
UN_MBO_191076_220223,healthy,Manis javanica,Oral
UN_MBO_191077_220223,healthy,Manis javanica,Oral
UN_MBO_191078_220223,healthy,Manis javanica,Oral
UN_MBO_191079_220223,healthy,Manis javanica,Oral
UN_MBA_191012_211229,healthy,Manis javanica,Anal
UN_MBA_191013_211229,healthy,Manis javanica,Anal
UN_MBA_191014_211229,healthy,Manis javanica,Anal
UN_MBA_191015_211229,healthy,Manis javanica,Anal
UN_MBA_191016_211229,healthy,Manis javanica,Anal
UN_MBA_191017_211229,healthy,Manis javanica,Anal
UN_MBA_191018_211229,healthy,Manis javanica,Anal
UN_MBA_191019_211229,healthy,Manis javanica,Anal
