Circovirus porcine1,Pangolin circovirus A2,Pangolin circovirus A3,Pangolin circovirus B2,Pangolin circovirus B3,Pangolin circovirus T3,Circoviridae sp,Fringilla montifringilla Circoviridae sp,Manis javanica papillomavirus 1,Manis pentadactyla papillomavirus 1,Copiparvovirus P171T,Pangolin protoparvovirus,Densovirinae sp,Pangolin densovirus A1,Pangolin densovirus T2,Pangolin parvovirus,Pangolin parvovirus B1,Pangolin pestivirus,Pangolin pestivirus T7,Pestivirus P179T,Morbillivirus canis,Hunnivirus P236T,Pangolin hunnivirus,Rhinolophus bat shanbavirus,Picornavirales sp
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.629281127,0,0,0,0,1.483297671,0,0,0,0.329499576,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.546272379,0,0,0.332266728,2.984154515,0.667831045,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.100242995,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1.188489751,0,0,0,0,1.217349687,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.134852576,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.029825154,0,0,0,0,0,0,0,0,0.562346404,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1.029459265,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.776846409,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.121303722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.804793449,0,0,0,0,0,0,0,0.772579126,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.422266378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.807353696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.855631198,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.929534382,0,0,0,0,0,0,0,0,0,0,0
0,0.830321081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.954168673,0,0,0,0,0,0,0,0,0,0,0
0,0,0.324338025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.92780803,0.807254202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.996131936,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.618765398,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.198538877,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.271960034,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.793090901,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.050731535,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.763474416,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.791293358,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.415405757,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.686877477,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.320399724,0,0,0,1.412358052,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.88682675,0,0,0,0,0,0,0,0,0,0,0.816295666
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.382866779,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467513394,0,0,0,0,0,0,0,0,0
