"","Circovirus.porcine1","Pangolin.circovirus.A2","Pangolin.circovirus.A3","Pangolin.circovirus.B2","Pangolin.circovirus.B3","Pangolin.circovirus.T3","Circoviridae.sp","Fringilla.montifringilla.Circoviridae.sp","Manis.javanica.papillomavirus.1","Manis.pentadactyla.papillomavirus.1","Copiparvovirus.P171T","Pangolin.protoparvovirus","Densovirinae.sp","Pangolin.densovirus.A1","Pangolin.densovirus.T2","Pangolin.parvovirus","Pangolin.parvovirus.B1","Pangolin.pestivirus","Pangolin.pestivirus.T7","Pestivirus.P179T","Morbillivirus.canis","Hunnivirus.P236T","Pangolin.hunnivirus","Rhinolophus.bat.shanbavirus","Picornavirales.sp"
"Copiparvovirus.P171T",0.911141837090491,0.911141837090491,0.866230362141431,0.911141837090491,0.78823859592135,0.794628630845803,0.911141837090491,2.51953661299057e-102,0.831610648073682,0.911141837090491,0,4.89998745038336e-52,6.02777611523061e-13,0.50941249584029,0.911141837090491,0.848403631879993,0.911141837090491,0.850262489979782,0.836036912937806,0.876805743852012,0.911141837090491,1.18532000934888e-76,0.911141837090491,0.911141837090491,0.911141837090491
"Pangolin.protoparvovirus",0.889017156738589,0.889017156738589,0.833168891982536,0.889017156738589,0.73695684462828,0.744792610295636,0.000687816843582495,3.99407034156677e-55,0.790317625839866,0.889017156738589,4.89998745038336e-52,0,7.03684512372836e-11,0.409206217395566,0.889017156738589,0.212292730127868,0.889017156738589,0.813379370977363,0.795784764109504,0.846296429222336,0.889017156738589,2.71596505533699e-35,0.889017156738589,0.889017156738589,0.889017156738589
"Densovirinae.sp",0.781454526102399,0.781454526102399,0.111165475664896,0.781454526102399,0.897530319286699,0.517384143938754,0.781454526102399,5.90900004781674e-14,0.596989563404741,0.781454526102399,6.02777611523061e-13,7.03684512372836e-11,0,0.0998257772703378,0.781454526102399,0.634581396577097,0.781454526102399,0.638793085473207,0.60681609057867,0.699939909548066,0.781454526102399,5.97911403215053e-13,0.781454526102399,0.781454526102399,0.781454526102399
"Pangolin.densovirus.A1",0.644965762633432,0.644965762633432,0.824063087233306,0.644965762633432,0.266723272144368,0.559860762036613,0.644965762633432,0.581777179211865,0.0939188460404294,0.000400054939211517,0.50941249584029,0.409206217395566,0.0998257772703378,0,0.644965762633432,0.429693626899496,0.644965762633432,0.709365616004552,0.740540475600376,0.522023559991284,0.644965762633432,0.644965762633432,0.0151315387417604,0.644965762633432,0.0432074707402877
"Pangolin.densovirus.T2",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
"Pangolin.parvovirus",0.893763091853882,0.893763091853882,0.84024822048372,0.893763091853882,0.747883776634387,0.755416729627772,2.34190988071645e-08,0.873184337166626,0.799142857315786,0.893763091853882,0.848403631879993,0.212292730127868,0.634581396577097,0.429693626899496,0.893763091853882,0,0.893763091853882,0.821270583002255,0.804389835925498,0.852832456490522,0.893763091853882,0.893763091853882,0.893763091853882,0.893763091853882,0.893763091853882
"Pangolin.parvovirus.B1",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,2.97727027607252e-08,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0.937855307961357,0.893763091853882,0,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357,0.937855307961357
"Pangolin.pestivirus",0.895073694075004,0.895073694075004,0.84220447599694,0.895073694075004,0.750908695736155,0.758357289903194,0.895073694075004,0.874744934829578,0.801583254174185,0.895073694075004,0.850262489979782,0.813379370977363,0.638793085473207,0.709365616004552,0.895073694075004,0.821270583002255,0.895073694075004,0,0.806769120224972,0.854638256989347,0.895073694075004,0.895073694075004,0.895073694075004,0.895073694075004,0.895073694075004
"Pangolin.pestivirus.T7",0.885035975106883,0.885035975106883,0.827236097490728,0.885035975106883,0.72782408216589,0.735910554833431,0.885035975106883,0.862796363906306,0.782929302708916,0.885035975106883,0.836036912937806,0.795784764109504,0.60681609057867,0.740540475600376,0.885035975106883,0.804389835925498,0.885035975106883,0.806769120224972,0,0.840817489734529,0.885035975106883,0.885035975106883,0.885035975106883,0.885035975106883,0.885035975106883
"Pestivirus.P179T",0.913757642758148,0.913757642758148,0.870148497790278,0.913757642758148,0.794355698072719,0.800569407997056,0.913757642758148,0.897007685531064,1.11961101161632e-06,0.913757642758148,0.876805743852012,0.846296429222336,0.699939909548066,0.522023559991284,0.913757642758148,0.852832456490522,0.913757642758148,0.854638256989347,0.840817489734529,0,0.913757642758148,0.913757642758148,0.913757642758148,0.913757642758148,0.913757642758148
"Morbillivirus.canis",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0,0.937855307961357,0.937855307961357,0,0.937855307961357
"Hunnivirus.P236T",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,4.01301644692677e-109,0.881908920457001,0.937855307961357,1.18532000934888e-76,2.71596505533699e-35,5.97911403215053e-13,0.644965762633432,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0,0.937855307961357,0.937855307961357,0.937855307961357
"Pangolin.hunnivirus",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.0151315387417604,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0.937855307961357,0.937855307961357,0,0.937855307961357,0.937855307961357
"Rhinolophus.bat.shanbavirus",0.937855307961357,0.937855307961357,0.906320116051849,0.937855307961357,0.851157663374314,0.855701852392822,0.937855307961357,0.925755997344117,0.881908920457001,0.937855307961357,0.911141837090491,0.889017156738589,0.781454526102399,0.644965762633432,0.937855307961357,0.893763091853882,0.937855307961357,0.895073694075004,0.885035975106883,0.913757642758148,0,0.937855307961357,0.937855307961357,0,0.937855307961357
