Health,sample,Type,Host,Family,Genus,Species,rpm,coverage,lg_rpm_1
Unhealthy,MP_Mix5,MMM,Manis pentadactyla,Flaviviridae,Pestivirus,Pangolin pestivirus 1,13.5653,100,1.163319434
Unhealthy,MP_Mix5,MMM,Manis pentadactyla,Parvoviridae,Protoparvovirus,Protoparvovirus carnivoran1,29.0005,99.0872,1.477128493
Healthy,UN_7D11_4O,Oral,Manis javanica,Circoviridae,unclassified Circoviridae genus,Circoviridae sp,3.25874,100,0.629281127
Healthy,UN_7D11_4O,Oral,Manis javanica,Parvoviridae,Protoparvovirus,Pangolin protoparvovirus,29.4297,100,1.483297671
Healthy,UN_7D11_4O,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin parvovirus,1.1355,97.1161,0.329499576
Healthy,UN_7D7_2A,Anal,Manis javanica,Circoviridae,unclassified Circoviridae genus,Fringilla montifringilla Circoviridae sp,280.899,100,2.450093535
Healthy,UN_7D7_2A,Anal,Manis javanica,Parvoviridae,Copiparvovirus,Copiparvovirus P171T,16.1137,99.9441,1.233343915
Healthy,UN_7D7_2A,Anal,Manis javanica,Parvoviridae,Protoparvovirus,Pangolin protoparvovirus,20430.4,100,4.310298126
Healthy,UN_7D7_2A,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,171.289,100,2.23625755
Healthy,UN_7D7_2A,Anal,Manis javanica,Picornaviridae,Hunnivirus,Hunnivirus P236T,542.301,100,2.735040504
Healthy,UN_7D7_2O,Oral,Manis javanica,Circoviridae,unclassified Circoviridae genus,Fringilla montifringilla Circoviridae sp,2.51781,95.2952,0.546272379
Healthy,UN_7D7_2O,Oral,Manis javanica,Parvoviridae,Copiparvovirus,Copiparvovirus P171T,1.14915,84.3389,0.332266728
Healthy,UN_7D7_2O,Oral,Manis javanica,Parvoviridae,Protoparvovirus,Pangolin protoparvovirus,963.172,100,2.984154515
Healthy,UN_7D7_2O,Oral,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,3.65405,95.6958,0.667831045
Healthy,UN_MBA190999,Anal,Manis javanica,Papillomaviridae,unclassified Papillomaviridae genus,Manis javanica papillomavirus 1,2.50176,100,0.544286378
Healthy,UN_MBA191001,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,1.239,96.9543,0.350054094
Healthy,UN_MBA191002,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,9.88821,100,1.036956488
Healthy,UN_MBA191003,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Densovirinae sp,3.75091,98.3422,0.676776803
Healthy,UN_MBA191004,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin densovirus A1,4.72625,99.3073,0.757870305
Healthy,UN_MBA191005,Anal,Manis javanica,Parvoviridae,unclassified Parvoviridae genus,Pangolin parvovirus B1,7.31288,100,0.919751511
Healthy,UN_MBA191005,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus B3,110.437,100,2.047029412
Healthy,UN_MBA191007,Anal,Manis javanica,Circoviridae,Circovirus,Pangolin circovirus T3,5.26301,100,0.796783105
